CÓDIGO,NOMBRE,SITUACIÓN,OBSERVACIONES
28079001,Pº.Recoletos,Baja.-,04/05/2009
28079002,Glta.deCarlosV,Baja.-,04/12/2006
28079003,Pza.delCarmen,,
28079035,Pza.delCarmen,Alta.-,*Desdeenero2010.CodigoAnterior28079003
28079004,Pza.deEspaña,Alta.-,
28079005,BarriodelPilar,,
28079039,BarriodelPilar,Alta.-,*Desdeenero2010.CodigoAnterior28079005
28079006,Pza.Dr.Marañón,Baja.-,27/11/2009
28079007,Pza.M.deSalamanca,Baja.-,30/12/2009
28079008,EscuelasAguirre,Alta.-,
28079009,Pza.LucadeTena,Baja.-,07/12/2009
28079010,CuatroCaminos,,
28079038,CuatroCaminos,Alta.-,*Desdeenero2010.CodigoAnterior28079010
28079011,Av.RamónyCajal,Alta.-,
28079012,Pza.ManuelBecerra,Baja.-,30/12/2009
28079013,Vallecas,,
28079040,Vallecas,Alta.-,*Desdeenero2010.CodigoAnterior28079013
28079014,Pza.Fdez.Ladreda,Baja.-,02/12/2009
28079015,Pza.Castilla,Baja.-,17/10/2008
28079016,ArturoSoria,Alta.-,
28079017,VillaverdeAlto,Alta.-,
28079018,C/Farolillo,Alta.-,
28079019,HuertaCastañeda,Baja.-,30/12/2009
28079020,Moratalaz,,
28079036,Moratalaz,Alta.-,*Desdeenero2010.CodigoAnterior28079020
28079021,Pza.CristoRey,Baja.-,04/12/2009
28079022,Pº.Pontones,Baja.-,20/11/2009
28079023,FinalC/Alcalá,Baja.-,30/12/2009
28079024,CasadeCampo,Alta.-,
28079025,SantaEugenia,Baja.-,16/11/2009
28079026,Urb.Embajada(Barajas),Baja.-,11/01/2010
28079027,Barajas,Alta.-,
28079047,MéndezÁlvaro,Alta.-,21/12/2009
28079048,Pº.Castellana,Alta.-,01/06/2010
28079049,Retiro,Alta.-,01/01/2010
28079050,Pza.Castilla,Alta.-,08/02/2010
28079054,EnsancheVallecas,Alta.-,11/12/2009
28079055,Urb.Embajada(Barajas),Alta.-,20/01/2010
28079056,PlazaElíptica,Alta.-,18/01/2010
28079057,Sanchinarro,Alta.-,24/11/2009
28079058,ElPardo,Alta.-,30/11/2009
28079059,ParqueJuanCarlosI,Alta.-,14/12/2009
28079060,TresOlivos,Alta.-,14/01/2010
